customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,join_date,city,state,income
1,Danielle,Johnson,Male,1958-03-05,donaldgarcia@mcclain.com,3389083863,2023-02-07,Lisatown,Wisconsin,115741.26
2,Linda,Wolfe,Male,1962-08-12,jasongallagher@gmail.com,6155940781,2021-11-25,"New Kellystad",Oregon,50245.92
3,James,Jones,Male,1984-06-16,tracie31@ramirez-reid.com,5534192832,2023-04-29,Nelsonside,Iowa,74537.58
4,Gabrielle,Cameron,Female,1992-04-07,lydiatrujillo@adams-clark.org,0015376724238849,2022-10-01,Coxberg,"North Carolina",NULL
5,Trevor,Campos,Male,1998-01-21,courtneyconner@carlson-cruz.org,8480184514627,2015-07-08,Teresaburgh,"North Carolina",144437.70
6,Rita,Harrell,Female,1959-10-08,nathanielmartin@sellers.com,4303911718227,2024-10-24,"West Allison","Rhode Island",64714.24
7,Rodney,Lewis,Female,1976-02-28,raymond57@hayes.com,0018393010310,2021-01-30,"New Johnfort",Indiana,146505.05
8,Amber,Cummings,Female,1999-07-04,kristenaguirre@gmail.com,1656670106,2021-03-26,"East Jamesside","New Hampshire",135108.73
9,Donald,White,Female,1970-12-10,ramosmichelle@garcia.com,3267736026,2015-07-01,Bakermouth,Maine,49626.78
10,Rodney,Bernard,Female,2007-03-14,jamesrobinson@gmail.com,0018050097882,2016-06-05,"Port Jacobland",Utah,69416.41
11,Michelle,Powell,Female,2003-07-15,harveyrobert@cunningham.com,4624751079,2025-01-14,"North Amandahaven",Kentucky,47235.91
12,David,Bailey,Female,1944-02-21,justin78@turner.net,8412411824,2020-04-02,"Lake Matthew",Utah,102547.18
13,Cynthia,Baker,Male,1972-09-14,davisrodney@yahoo.com,524278680,2017-05-13,"Lake Rebeccaside",Arizona,103199.97
14,Mary,Aguilar,Male,1949-07-15,bobbydiaz@gmail.com,3315869232260,2018-07-06,Kimberlychester,Texas,49776.25
15,Michelle,Cochran,Male,1957-08-13,reyesbenjamin@walker-velasquez.info,4330365414586,2024-07-31,Sheilaville,Kentucky,138707.70
16,Gregory,Estes,Female,1957-07-11,carlsonmichael@graham-joyce.com,93406088356159,2020-10-19,"Lake Rachelhaven",Maryland,103570.74
17,Elizabeth,Nguyen,Male,1986-11-27,jamesortega@yahoo.com,1299468044369957,2022-12-23,Lowehaven,"New Mexico",54156.41
18,Laura,Moyer,Female,1989-07-17,campbellelizabeth@rogers.com,3200379176,2025-04-03,"Lake Heather","New York",149679.89
19,Reginald,Hernandez,Female,1986-04-02,osbornejeffery@holmes.com,2788957986872,2023-07-15,Greenbury,"South Dakota",101567.99
20,Joshua,Strickland,Female,1972-06-08,scott43@rogers-orozco.com,2362316658,2023-05-22,Brownchester,Missouri,80846.49
21,Rebecca,Silva,Female,1986-10-16,wwoods@molina-castaneda.biz,8332,2021-03-06,Ramseymouth,Florida,113693.84
22,Tina,Ferguson,Female,2001-03-05,millerroy@yahoo.com,0465375564,2022-08-19,Maryfort,Alaska,40560.51
23,Kaitlyn,Williams,Male,2004-03-28,debraharrington@hotmail.com,330923271,2025-01-20,"South Holly",Wyoming,85076.19
24,Miguel,Obrien,Male,2005-01-15,tamirodriguez@hickman.biz,31931491905865,2016-08-19,Alexanderchester,"New York",129417.02
25,Daniel,Yu,Male,1982-09-17,ryangross@hotmail.com,9877694531473,2023-05-14,Rogersfort,Massachusetts,121221.44
26,Hunter,Lewis,Male,1993-10-02,joshua94@hotmail.com,8313678377,2023-01-31,"North Kellyfurt",Vermont,67187.50
27,John,Beck,Female,1964-07-28,ronald85@yahoo.com,0017444313518233,2023-09-12,Jennyhaven,"Rhode Island",30238.42
28,Justin,Garcia,Female,1952-09-01,michaelturner@hotmail.com,3033,2025-03-24,Taylormouth,Michigan,36348.87
29,Jack,Williams,Female,2003-07-02,shortrichard@gmail.com,0010229413186,2019-04-20,Hayesmouth,Maryland,98857.21
30,Michelle,Branch,Male,1960-03-29,mezajared@baker.com,2812067974,2016-01-06,"West Jasmine",Vermont,112683.37
31,Michele,Jones,Female,1955-05-06,ronaldstephens@hotmail.com,4210249947,2017-07-29,Barkerfurt,Louisiana,87284.86
32,Vincent,Snyder,Male,1944-12-07,mnavarro@johnson-perez.org,0010490278742,2025-06-02,Waltersfort,Colorado,92009.80
33,Theodore,Ortiz,Male,1961-04-22,NULL,1125674680715451,2022-05-03,"Lake Mollymouth",Nebraska,28762.04
34,Brian,Stone,Male,1981-10-30,nwolf@yahoo.com,10280,2024-10-30,"New Rickybury",Delaware,106967.11
35,Steven,Wilson,Male,1996-02-02,scantu@thornton.info,7826398214,2022-07-09,Sarahhaven,Louisiana,94907.51
36,Lori,Campbell,Male,1959-10-11,seanwashington@yahoo.com,11035,2016-03-15,Juliefurt,Missouri,32601.01
37,Vanessa,Sparks,Female,1983-10-31,ihanna@sanford.info,8702621745,2022-03-22,"Port Markside",Missouri,27042.25
38,Stephanie,Sims,Male,1999-11-07,williamsonjimmy@hotmail.com,31611724005045,2021-11-02,Thomashaven,Nebraska,34204.97
39,Ashlee,Sparks,Male,1951-01-10,lynchpatrick@allen.info,147407482175946,2019-09-19,Bruceborough,Missouri,56210.87
40,Melissa,Rodriguez,Male,1965-05-30,victoria40@hotmail.com,40909743953394,2017-10-14,"Lake Debbieport","New Hampshire",131275.70
41,Arthur,Diaz,Male,1948-05-27,mark62@anderson.com,842474517123685,2016-12-30,Smithside,Delaware,145969.51
42,Shawn,Chambers,Male,1985-03-19,xcarson@gmail.com,1370985931746120,2016-02-04,Wendyville,Connecticut,72135.24
43,Jimmy,Medina,Male,1965-11-27,ellen86@hotmail.com,NULL,2018-02-02,Penafort,"South Carolina",140447.35
44,Ricky,Lynn,Female,1941-09-08,scottsampson@yahoo.com,5850643171,2019-01-25,"North Kristinbury",Florida,121837.00
45,Kristin,Harris,Female,1995-12-06,lisahall@kramer.com,2284210205395,2015-09-24,"West Brian","West Virginia",95293.44
46,Robert,Wilson,Male,1943-10-14,gstrickland@hotmail.com,7839084700,2023-08-11,Simmonsville,"New York",85370.55
47,Jennifer,Wallace,Male,2000-08-27,charlene12@weber-richards.com,98478961183673,2022-07-02,Mariafurt,Nebraska,28907.77
48,Jessica,Edwards,Male,1960-09-22,stephanie71@gmail.com,1615280988,2021-01-25,"South Michaelchester",Washington,135737.35
49,Brett,Roberts,Male,1960-09-20,lanejason@hotmail.com,31585149368998,2015-11-28,Anthonyview,Vermont,105458.51
50,Kathryn,Dorsey,Female,1963-05-07,mollyknight@jones-figueroa.com,8366752545,2025-02-11,"North Ericton",Utah,51029.17
51,Christopher,Ramos,Female,1968-04-24,nperry@hotmail.com,5614978403,2022-03-09,"North Jamesborough",Wyoming,140772.38
52,Derrick,Scott,Male,1961-10-15,NULL,0762268388,2021-06-26,"South Michelleton",Nevada,32997.56
53,Andrew,Morse,Male,1998-02-15,tberry@hotmail.com,416052975161369,2022-04-10,"South Monicamouth",Iowa,28942.87
54,Mason,Jackson,Male,1974-03-14,rebeccabailey@mullen.com,4329212779,2025-04-26,Maldonadoshire,Tennessee,111460.19
55,Cynthia,Weber,Male,1998-04-09,scottharrison@hotmail.com,49058147700541,2016-12-30,Fordside,"West Virginia",33466.25
56,Paula,Cole,Male,1994-07-27,cassidy82@hayes.com,203778892554665,2016-05-08,Cameronville,Oklahoma,40208.23
